degisken,H,df,p,epsilon2,etki
ndvi,316.88318044407856,7,1.4950358080099576e-64,0.12612258056332054,orta
ndbi,202.2243728957155,7,3.879104199255495e-40,0.07945639922495544,orta
glcm_contrast,940.4117524251591,7,8.987456643381458e-199,0.37989896313600285,buyuk
glcm_homogeneity,1237.1621494212814,7,6.491183948543575e-263,0.500676495490957,buyuk
