degisken,karsilastirma,z,p_ham,p_bh
ndvi,Denizcilik - Fen Edebiyat,8.647905635283728,5.2453176152594955e-18,1.8358611653408233e-17
ndvi,Denizcilik - Guzel Sanatlar,12.024123438160668,2.653895789378859e-33,3.7154541051304025e-32
ndvi,Fen Edebiyat - Guzel Sanatlar,5.485948057368827,4.112577374796606e-8,8.225154749593212e-8
ndvi,Denizcilik - Hukuk,9.205837937064269,3.390156916807818e-20,1.5820732278436484e-19
ndvi,Fen Edebiyat - Hukuk,0.7323409895713469,0.4639604667354021,0.48114418772560213
ndvi,Guzel Sanatlar - Hukuk,-4.94703545882396,7.53522543203993e-7,1.2410959535124589e-6
ndvi,Denizcilik - Isletme,5.194567430039368,2.0519639123075644e-7,3.5909368465382377e-7
ndvi,Fen Edebiyat - Isletme,-4.219784974657903,2.4453543974021705e-5,3.26047252986956e-5
ndvi,Guzel Sanatlar - Isletme,-8.814837218876084,1.198590811477765e-18,4.79436324591106e-18
ndvi,Hukuk - Isletme,-4.939245601216213,7.842538496195662e-7,1.2199504327415474e-6
ndvi,Denizcilik - Mimarlik,4.747545839149564,2.0589973488290507e-6,3.0343118824849166e-6
ndvi,Fen Edebiyat - Mimarlik,-5.5866171183169415,2.315354212311211e-8,4.986916764977992e-8
ndvi,Guzel Sanatlar - Mimarlik,-10.439935385976764,1.6292156202990881e-25,1.1404509342093617e-24
ndvi,Hukuk - Mimarlik,-6.41826958813815,1.3783201841141396e-10,3.5084513777450825e-10
ndvi,Isletme - Mimarlik,-0.8682210480156813,0.38527333384109397,0.41490974413656273
ndvi,Denizcilik - Muhendislik,6.2501186276706555,4.10141046636877e-10,9.569957754860464e-10
ndvi,Fen Edebiyat - Muhendislik,-5.302274828327387,1.1436849013060678e-7,2.134878482437993e-7
ndvi,Guzel Sanatlar - Muhendislik,-11.208706198215182,3.695556484145995e-29,3.4491860518695956e-28
ndvi,Hukuk - Muhendislik,-6.427624390785569,1.296135233549976e-10,3.6291786539399324e-10
ndvi,Isletme - Muhendislik,0.4733972134093792,0.6359298175637159,0.6359298175637159
