degisken_1,degisken_2,rho,p
ndvi,ndbi,-0.4215046998657592,9.169122578201273e-107
ndvi,glcm_contrast,0.35449254629326493,6.786560379986371e-74
ndvi,glcm_homogeneity,-0.33809695625041675,5.66895408440324e-67
ndbi,glcm_contrast,-0.36525071707576906,1.1512119141891223e-78
ndbi,glcm_homogeneity,0.35436712616558297,7.694551405723973e-74
glcm_contrast,glcm_homogeneity,-0.8267781657523969,0
