longitude,latitude,fakulte,glcm_contrast_5x5,glcm_homogeneity_5x5
27.20439282511019,38.36843768336512,Guzel Sanatlar,294.3063636363638,0.09269618676908271
27.20450729815461,38.36843748374981,Guzel Sanatlar,284.64250000000015,0.10210314616872292
27.20439257163231,38.36834756060807,Guzel Sanatlar,259.7434090909091,0.11203260940365453
27.204507044534772,38.36834736099339,Guzel Sanatlar,249.78750000000005,0.11744049649906022
27.204621517436102,38.36834716126695,Guzel Sanatlar,247.80931818181816,0.12949899292939288
27.204735990336292,38.368346961428756,Guzel Sanatlar,242.05431818181816,0.13852792853481571
27.204850463235356,38.36834676147879,Guzel Sanatlar,229.66704545454547,0.1457956814766994
27.20427784539394,38.36825763735188,Guzel Sanatlar,219.35431818181814,0.10377229692996448
27.20439231815557,38.368257437849614,Guzel Sanatlar,210.63227272727266,0.11022137607001006
27.20450679091607,38.368257238235586,Guzel Sanatlar,200.52999999999992,0.11349197750844882
27.204621263675435,38.36825703850978,Guzel Sanatlar,199.48886363636362,0.125053638393425
27.204735736433665,38.368256838672224,Guzel Sanatlar,197.5481818181818,0.13852519369400063
27.204850209190766,38.368256638722904,Guzel Sanatlar,189.37704545454548,0.1474438926142494
27.20496468194673,38.36825643866182,Guzel Sanatlar,178.58022727272734,0.161104813602709
27.20507915470156,38.36825623848896,Guzel Sanatlar,177.93181818181824,0.1668462026694872
27.204277592060286,38.3681675145914,Guzel Sanatlar,188.8025,0.1102930133589266
27.204392064679958,38.36816731508977,Guzel Sanatlar,180.95522727272726,0.11618214521656889
27.204506537298496,38.36816711547638,Guzel Sanatlar,175.67159090909087,0.1184161850520832
27.204621009915904,38.368166915751225,Guzel Sanatlar,177.6170454545454,0.1286331015242313
27.20473548253218,38.368166715914306,Guzel Sanatlar,174.03204545454545,0.14352592556800758
27.204849955147314,38.36816651596562,Guzel Sanatlar,167.31681818181815,0.15487078234024487
27.204964427761322,38.36816631590518,Guzel Sanatlar,162.8211363636364,0.16857935059449297
27.20507890037419,38.36816611573297,Guzel Sanatlar,162.28545454545463,0.17083119050561407
27.20519337298592,38.368165915449,Guzel Sanatlar,173.10318181818184,0.17517320877790654
27.205307845596515,38.36816571505326,Guzel Sanatlar,179.09159090909088,0.17712402457962267
27.204162866248925,38.36807759121874,Guzel Sanatlar,183.40477272727279,0.10571638854414228
27.204277338727767,38.368077391829516,Guzel Sanatlar,173.0468181818182,0.10880667321363643
27.20439181120548,38.368077192328535,Guzel Sanatlar,162.0797727272727,0.1144357073560821
27.204506283682058,38.368076992715785,Guzel Sanatlar,159.6297727272727,0.11617360947173473
27.204620756157503,38.36807679299127,Guzel Sanatlar,162.94795454545448,0.11847278511813657
27.20473522863182,38.368076593154996,Guzel Sanatlar,158.0354545454545,0.13667898987734423
27.204849701105,38.368076393206955,Guzel Sanatlar,151.6470454545454,0.14929102592541518
